Query	RS_Number	R2	GWAS_Trait	P_value	PMID
rs2038839	rs6457796	0.606408583395711	Body mass index	1e-14	26426971
rs2038839	rs6457796	0.606408583395711	Educational attainment	5e-19	35361970
rs2038840	rs9469857	0.997582352024437	Systemic lupus erythematosus (MTAG)	9e-45	36750564
rs2038840	rs2764208	0.99677912492054	Systemic lupus erythematosus	7e-06	24871463
rs2038840	rs9462030	0.983140807806833	Red cell distribution width	5e-25	32888493
rs2038840	rs9469899	0.966667430087757	Prostate cancer (advanced)	2e-06	29892016
rs2038840	rs9469899	0.966667430087757	Prostate cancer	5e-09	29892016
rs2038840	rs9469899	0.966667430087757	Prostate cancer	8e-11	33398198
rs2038840	rs9469899	0.966667430087757	Hand grip strength	3e-15	29691431
rs2038840	rs9469899	0.966667430087757	Phospholipids to total lipids ratio in large VLDL	4e-09	35213538
rs2038840	rs9469899	0.966667430087757	Graves' disease	4e-10	34594039
rs2038840	rs9469899	0.966667430087757	Coronary artery disease	1e-11	36474045
rs2038840	rs9469899	0.966667430087757	Predicted visceral adipose tissue	2e-20	31501611
rs2038840	rs9469899	0.966667430087757	Medication use (thyroid preparations)	2e-09	31015401
rs2038840	rs9469899	0.966667430087757	Medication use (thyroid preparations)	3e-10	34594039
rs2038840	rs9469872	0.961323796018004	HDL cholesterol levels	3e-11	36333282
rs2038840	rs9296128	0.946492209800938	Hip circumference adjusted for BMI	4e-13	34021172
rs2038840	rs11755393	0.936029189335317	Body mass index	3e-26	29273807
rs2038840	rs11755393	0.936029189335317	Systemic lupus erythematosus	2e-12	33493351
rs2038840	rs11755393	0.936029189335317	Systemic lupus erythematosus	2e-06	33493351
rs2038840	rs11755393	0.936029189335317	Systemic lupus erythematosus	1e-07	33493351
rs2038840	rs11755393	0.936029189335317	Systemic lupus erythematosus	2e-08	19838195
rs2038840	rs11755393	0.936029189335317	Body mass index	4e-55	36581621
rs2038840	rs9366863	0.932290436890068	Adult body size	9e-33	32376654
rs2038840	rs9366863	0.932290436890068	Body mass index	2e-44	30595370
rs2038840	rs6941110	0.924468849620969	Sex hormone-binding globulin levels	5e-27	36653534
rs2038840	rs2744944	0.905333361761586	Hypothyroidism	3e-10	34594039
rs2038840	rs2744944	0.905333361761586	High density lipoprotein cholesterol levels	3e-86	34887591
rs2038840	rs2744944	0.905333361761586	Multi-trait sex score	7e-22	37277458
rs2038840	rs2814949	0.896360329346663	Essential hypertension (time to event)	9e-09	32589924
rs2038840	rs2263329	0.882985226709218	HDL cholesterol	6e-35	34594039
rs2038840	rs2263329	0.882985226709218	HDL cholesterol levels	8e-43	32203549
rs2038840	rs2263329	0.882985226709218	High density lipoprotein cholesterol levels	2e-52	34887591
rs2038840	rs111868030	0.861914393516153	Alzheimer’s disease polygenic risk score (upper quantile vs lower quantile)	4e-08	35589863
rs2038840	rs9368830	0.823864293461377	HDL cholesterol	4e-21	30275531
rs2038840	rs9368828	0.814494197533457	Body mass index	1e-34	34594039
rs2038840	rs2744973	0.792932896815807	Phospholipids to total lipids ratio in large LDL	8e-09	35213538
rs2038840	rs2744973	0.792932896815807	Phospholipids to total lipids ratio in medium HDL	5e-11	35213538
rs2038840	rs2744973	0.792932896815807	Free cholesterol to total lipids ratio in medium HDL	6e-15	35213538
rs2038840	rs2744973	0.792932896815807	Multi-trait sex score	6e-20	37277458
rs2038840	rs6912327	0.780671203169317	Fasting insulin	5e-06	33402679
rs2038840	rs6912327	0.780671203169317	Triglycerides to total lipids ratio in large VLDL	8e-09	35213538
rs2038840	rs112283401	0.758513820445014	Red cell distribution width	4e-27	30595370
rs2038840	rs9689160	0.620127800867843	Lung function (forced vital capacity)	3e-14	36914875
rs2038841	rs9469857	0.997582352024437	Systemic lupus erythematosus (MTAG)	9e-45	36750564
rs2038841	rs2764208	0.99677912492054	Systemic lupus erythematosus	7e-06	24871463
rs2038841	rs9462030	0.983140807806833	Red cell distribution width	5e-25	32888493
rs2038841	rs9469899	0.966667430087757	Prostate cancer (advanced)	2e-06	29892016
rs2038841	rs9469899	0.966667430087757	Prostate cancer	5e-09	29892016
rs2038841	rs9469899	0.966667430087757	Prostate cancer	8e-11	33398198
rs2038841	rs9469899	0.966667430087757	Hand grip strength	3e-15	29691431
rs2038841	rs9469899	0.966667430087757	Phospholipids to total lipids ratio in large VLDL	4e-09	35213538
rs2038841	rs9469899	0.966667430087757	Graves' disease	4e-10	34594039
rs2038841	rs9469899	0.966667430087757	Coronary artery disease	1e-11	36474045
rs2038841	rs9469899	0.966667430087757	Predicted visceral adipose tissue	2e-20	31501611
rs2038841	rs9469899	0.966667430087757	Medication use (thyroid preparations)	2e-09	31015401
rs2038841	rs9469899	0.966667430087757	Medication use (thyroid preparations)	3e-10	34594039
rs2038841	rs9469872	0.961323796018004	HDL cholesterol levels	3e-11	36333282
rs2038841	rs9296128	0.946492209800938	Hip circumference adjusted for BMI	4e-13	34021172
rs2038841	rs11755393	0.936029189335317	Body mass index	3e-26	29273807
rs2038841	rs11755393	0.936029189335317	Systemic lupus erythematosus	2e-12	33493351
rs2038841	rs11755393	0.936029189335317	Systemic lupus erythematosus	2e-06	33493351
rs2038841	rs11755393	0.936029189335317	Systemic lupus erythematosus	1e-07	33493351
rs2038841	rs11755393	0.936029189335317	Systemic lupus erythematosus	2e-08	19838195
rs2038841	rs11755393	0.936029189335317	Body mass index	4e-55	36581621
rs2038841	rs9366863	0.932290436890068	Adult body size	9e-33	32376654
rs2038841	rs9366863	0.932290436890068	Body mass index	2e-44	30595370
rs2038841	rs6941110	0.924468849620969	Sex hormone-binding globulin levels	5e-27	36653534
rs2038841	rs2744944	0.905333361761586	Hypothyroidism	3e-10	34594039
rs2038841	rs2744944	0.905333361761586	High density lipoprotein cholesterol levels	3e-86	34887591
rs2038841	rs2744944	0.905333361761586	Multi-trait sex score	7e-22	37277458
rs2038841	rs2814949	0.896360329346663	Essential hypertension (time to event)	9e-09	32589924
rs2038841	rs2263329	0.882985226709218	HDL cholesterol	6e-35	34594039
rs2038841	rs2263329	0.882985226709218	HDL cholesterol levels	8e-43	32203549
rs2038841	rs2263329	0.882985226709218	High density lipoprotein cholesterol levels	2e-52	34887591
rs2038841	rs111868030	0.861914393516153	Alzheimer’s disease polygenic risk score (upper quantile vs lower quantile)	4e-08	35589863
rs2038841	rs9368830	0.823864293461377	HDL cholesterol	4e-21	30275531
rs2038841	rs9368828	0.814494197533457	Body mass index	1e-34	34594039
rs2038841	rs2744973	0.792932896815807	Phospholipids to total lipids ratio in large LDL	8e-09	35213538
rs2038841	rs2744973	0.792932896815807	Phospholipids to total lipids ratio in medium HDL	5e-11	35213538
rs2038841	rs2744973	0.792932896815807	Free cholesterol to total lipids ratio in medium HDL	6e-15	35213538
rs2038841	rs2744973	0.792932896815807	Multi-trait sex score	6e-20	37277458
rs2038841	rs6912327	0.780671203169317	Fasting insulin	5e-06	33402679
rs2038841	rs6912327	0.780671203169317	Triglycerides to total lipids ratio in large VLDL	8e-09	35213538
rs2038841	rs112283401	0.758513820445014	Red cell distribution width	4e-27	30595370
rs2038841	rs9689160	0.620127800867843	Lung function (forced vital capacity)	3e-14	36914875
rs2040349	rs58588820	0.811937091968275	Total cholesterol levels	1e-09	34887591
rs2040349	rs58588820	0.811937091968275	Total cholesterol levels	8e-11	34887591
rs2040349	rs6547629	0.728284817582546	Height	3e-09	36224396
rs2041384	rs2532497	0.861417841978632	Tapasin-related protein levels (TAPBPL.6364.7.3)	0	29875488
rs2041384	rs2532497	0.861417841978632	Tapasin-related protein levels	0	34648354
rs2041384	rs2041387	0.847505100399152	Tapasin-related protein level in Chronic kidney disease with hypertension and no diabetes (6364_7)	1e-109	35870639
rs2041385	rs2532497	0.858004988336399	Tapasin-related protein levels (TAPBPL.6364.7.3)	0	29875488
rs2041385	rs2532497	0.858004988336399	Tapasin-related protein levels	0	34648354
rs2041385	rs2041387	0.844539090695664	Tapasin-related protein level in Chronic kidney disease with hypertension and no diabetes (6364_7)	1e-109	35870639
rs2041387	rs2041387	1	Tapasin-related protein level in Chronic kidney disease with hypertension and no diabetes (6364_7)	1e-109	35870639
rs2041387	rs2532497	0.729767808706032	Tapasin-related protein levels (TAPBPL.6364.7.3)	0	29875488
rs2041387	rs2532497	0.729767808706032	Tapasin-related protein levels	0	34648354
rs2041388	rs2532497	0.99753328962634	Tapasin-related protein levels (TAPBPL.6364.7.3)	0	29875488
rs2041388	rs2532497	0.99753328962634	Tapasin-related protein levels	0	34648354
rs2041388	rs2041387	0.73184125940997	Tapasin-related protein level in Chronic kidney disease with hypertension and no diabetes (6364_7)	1e-109	35870639
rs2047653	rs6680628	0.681660888026549	Liver enzyme levels (alkaline phosphatase)	1e-300	33972514
rs2047654	rs6680628	0.68264972829523	Liver enzyme levels (alkaline phosphatase)	1e-300	33972514
rs205258	rs2263329	0.966546098869616	HDL cholesterol	6e-35	34594039
rs205258	rs2263329	0.966546098869616	HDL cholesterol levels	8e-43	32203549
rs205258	rs2263329	0.966546098869616	High density lipoprotein cholesterol levels	2e-52	34887591
rs205258	rs9366863	0.952499575085844	Adult body size	9e-33	32376654
rs205258	rs9366863	0.952499575085844	Body mass index	2e-44	30595370
rs205258	rs2744944	0.945483947567097	Hypothyroidism	3e-10	34594039
rs205258	rs2744944	0.945483947567097	High density lipoprotein cholesterol levels	3e-86	34887591
rs205258	rs2744944	0.945483947567097	Multi-trait sex score	7e-22	37277458
rs205258	rs2814949	0.944074280347672	Essential hypertension (time to event)	9e-09	32589924
rs205258	rs9469872	0.93923442416383	HDL cholesterol levels	3e-11	36333282
rs205258	rs11755393	0.917254422113034	Body mass index	3e-26	29273807
rs205258	rs11755393	0.917254422113034	Systemic lupus erythematosus	2e-12	33493351
rs205258	rs11755393	0.917254422113034	Systemic lupus erythematosus	2e-06	33493351
rs205258	rs11755393	0.917254422113034	Systemic lupus erythematosus	1e-07	33493351
rs205258	rs11755393	0.917254422113034	Systemic lupus erythematosus	2e-08	19838195
rs205258	rs11755393	0.917254422113034	Body mass index	4e-55	36581621
rs205258	rs6941110	0.908968756321491	Sex hormone-binding globulin levels	5e-27	36653534
rs205258	rs111868030	0.903201853896945	Alzheimer’s disease polygenic risk score (upper quantile vs lower quantile)	4e-08	35589863
rs205258	rs9469857	0.900261598602014	Systemic lupus erythematosus (MTAG)	9e-45	36750564
rs205258	rs2764208	0.897968427893056	Systemic lupus erythematosus	7e-06	24871463
rs205258	rs9462030	0.88807098876791	Red cell distribution width	5e-25	32888493
rs205258	rs9469899	0.872430657137805	Prostate cancer (advanced)	2e-06	29892016
rs205258	rs9469899	0.872430657137805	Prostate cancer	5e-09	29892016
rs205258	rs9469899	0.872430657137805	Prostate cancer	8e-11	33398198
rs205258	rs9469899	0.872430657137805	Hand grip strength	3e-15	29691431
rs205258	rs9469899	0.872430657137805	Phospholipids to total lipids ratio in large VLDL	4e-09	35213538
rs205258	rs9469899	0.872430657137805	Graves' disease	4e-10	34594039
rs205258	rs9469899	0.872430657137805	Coronary artery disease	1e-11	36474045
rs205258	rs9469899	0.872430657137805	Predicted visceral adipose tissue	2e-20	31501611
rs205258	rs9469899	0.872430657137805	Medication use (thyroid preparations)	2e-09	31015401
rs205258	rs9469899	0.872430657137805	Medication use (thyroid preparations)	3e-10	34594039
rs205258	rs9368830	0.866272741358458	HDL cholesterol	4e-21	30275531
rs205258	rs9296128	0.850215739645168	Hip circumference adjusted for BMI	4e-13	34021172
rs205258	rs9368828	0.846841926205149	Body mass index	1e-34	34594039
rs205258	rs2744973	0.809738572623874	Phospholipids to total lipids ratio in large LDL	8e-09	35213538
rs205258	rs2744973	0.809738572623874	Phospholipids to total lipids ratio in medium HDL	5e-11	35213538
rs205258	rs2744973	0.809738572623874	Free cholesterol to total lipids ratio in medium HDL	6e-15	35213538
rs205258	rs2744973	0.809738572623874	Multi-trait sex score	6e-20	37277458
rs205258	rs6912327	0.768366636489921	Fasting insulin	5e-06	33402679
rs205258	rs6912327	0.768366636489921	Triglycerides to total lipids ratio in large VLDL	8e-09	35213538
rs205258	rs112283401	0.742182750845035	Red cell distribution width	4e-27	30595370
rs205258	rs205262	0.630756089992058	Body mass index	2e-09	26961502
rs205258	rs205262	0.630756089992058	Walking pace	4e-10	33128006
rs205258	rs205262	0.630756089992058	Body mass index	8e-13	30108127
rs205258	rs205262	0.630756089992058	Body mass index	2e-09	25673413
rs205258	rs205262	0.630756089992058	Body mass index	2e-14	26426971
rs205258	rs205262	0.630756089992058	BMI in non-smokers	3e-07	28443625
rs205258	rs205262	0.630756089992058	BMI in non-smokers	6e-09	28443625
rs205258	rs205262	0.630756089992058	BMI (adjusted for smoking behaviour)	3e-07	28443625
rs205258	rs205262	0.630756089992058	BMI (adjusted for smoking behaviour)	3e-09	28443625
rs205258	rs205262	0.630756089992058	Body mass index (joint analysis main effects and smoking interaction)	3e-09	28443625
rs205258	rs205262	0.630756089992058	Body mass index (joint analysis main effects and smoking interaction)	2e-07	28443625
rs205258	rs205262	0.630756089992058	Gastroesophageal reflux disease	1e-10	34187846
rs205258	rs205262	0.630756089992058	Body mass index	3e-10	25673413
rs205258	rs205262	0.630756089992058	Body mass index	2e-10	25673413
rs205258	rs205262	0.630756089992058	ICD10 M54: Dorsalgia	2e-12	35110524
rs205259	rs9366863	0.961067882286274	Adult body size	9e-33	32376654
rs205259	rs9366863	0.961067882286274	Body mass index	2e-44	30595370
rs205259	rs2263329	0.959393255367374	HDL cholesterol	6e-35	34594039
rs205259	rs2263329	0.959393255367374	HDL cholesterol levels	8e-43	32203549
rs205259	rs2263329	0.959393255367374	High density lipoprotein cholesterol levels	2e-52	34887591
rs205259	rs2814949	0.952559572280474	Essential hypertension (time to event)	9e-09	32589924
rs205259	rs2744944	0.938363067323545	Hypothyroidism	3e-10	34594039
rs205259	rs2744944	0.938363067323545	High density lipoprotein cholesterol levels	3e-86	34887591
rs205259	rs2744944	0.938363067323545	Multi-trait sex score	7e-22	37277458
rs205259	rs9469872	0.932139619748421	HDL cholesterol levels	3e-11	36333282
rs205259	rs11755393	0.92556712909128	Body mass index	3e-26	29273807
rs205259	rs11755393	0.92556712909128	Systemic lupus erythematosus	2e-12	33493351
rs205259	rs11755393	0.92556712909128	Systemic lupus erythematosus	2e-06	33493351
rs205259	rs11755393	0.92556712909128	Systemic lupus erythematosus	1e-07	33493351
rs205259	rs11755393	0.92556712909128	Systemic lupus erythematosus	2e-08	19838195
rs205259	rs11755393	0.92556712909128	Body mass index	4e-55	36581621
rs205259	rs6941110	0.917371207902841	Sex hormone-binding globulin levels	5e-27	36653534
rs205259	rs111868030	0.896623011036922	Alzheimer’s disease polygenic risk score (upper quantile vs lower quantile)	4e-08	35589863
rs205259	rs9462030	0.896527796226074	Red cell distribution width	5e-25	32888493
rs205259	rs9469857	0.893487643346647	Systemic lupus erythematosus (MTAG)	9e-45	36750564
rs205259	rs2764208	0.891213349707232	Systemic lupus erythematosus	7e-06	24871463
rs205259	rs9469899	0.880698901798549	Prostate cancer (advanced)	2e-06	29892016
rs205259	rs9469899	0.880698901798549	Prostate cancer	5e-09	29892016
rs205259	rs9469899	0.880698901798549	Prostate cancer	8e-11	33398198
rs205259	rs9469899	0.880698901798549	Hand grip strength	3e-15	29691431
rs205259	rs9469899	0.880698901798549	Phospholipids to total lipids ratio in large VLDL	4e-09	35213538
rs205259	rs9469899	0.880698901798549	Graves' disease	4e-10	34594039
rs205259	rs9469899	0.880698901798549	Coronary artery disease	1e-11	36474045
rs205259	rs9469899	0.880698901798549	Predicted visceral adipose tissue	2e-20	31501611
rs205259	rs9469899	0.880698901798549	Medication use (thyroid preparations)	2e-09	31015401
rs205259	rs9469899	0.880698901798549	Medication use (thyroid preparations)	3e-10	34594039
rs205259	rs9368830	0.871085205846903	HDL cholesterol	4e-21	30275531
rs205259	rs9296128	0.843853705838665	Hip circumference adjusted for BMI	4e-13	34021172
rs205259	rs9368828	0.840247758644241	Body mass index	1e-34	34594039
rs205259	rs2744973	0.818672084776135	Phospholipids to total lipids ratio in large LDL	8e-09	35213538
rs205259	rs2744973	0.818672084776135	Phospholipids to total lipids ratio in medium HDL	5e-11	35213538
rs205259	rs2744973	0.818672084776135	Free cholesterol to total lipids ratio in medium HDL	6e-15	35213538
rs205259	rs2744973	0.818672084776135	Multi-trait sex score	6e-20	37277458
rs205259	rs6912327	0.77546281090312	Fasting insulin	5e-06	33402679
rs205259	rs6912327	0.77546281090312	Triglycerides to total lipids ratio in large VLDL	8e-09	35213538
rs205259	rs112283401	0.750571744130531	Red cell distribution width	4e-27	30595370
rs205259	rs205262	0.626504478942582	Body mass index	2e-09	26961502
rs205259	rs205262	0.626504478942582	Walking pace	4e-10	33128006
rs205259	rs205262	0.626504478942582	Body mass index	8e-13	30108127
rs205259	rs205262	0.626504478942582	Body mass index	2e-09	25673413
rs205259	rs205262	0.626504478942582	Body mass index	2e-14	26426971
rs205259	rs205262	0.626504478942582	BMI in non-smokers	3e-07	28443625
rs205259	rs205262	0.626504478942582	BMI in non-smokers	6e-09	28443625
rs205259	rs205262	0.626504478942582	BMI (adjusted for smoking behaviour)	3e-07	28443625
rs205259	rs205262	0.626504478942582	BMI (adjusted for smoking behaviour)	3e-09	28443625
rs205259	rs205262	0.626504478942582	Body mass index (joint analysis main effects and smoking interaction)	3e-09	28443625
rs205259	rs205262	0.626504478942582	Body mass index (joint analysis main effects and smoking interaction)	2e-07	28443625
rs205259	rs205262	0.626504478942582	Gastroesophageal reflux disease	1e-10	34187846
rs205259	rs205262	0.626504478942582	Body mass index	3e-10	25673413
rs205259	rs205262	0.626504478942582	Body mass index	2e-10	25673413
rs205259	rs205262	0.626504478942582	ICD10 M54: Dorsalgia	2e-12	35110524
rs205259	rs6940215	0.605657184250838	Insomnia	2e-10	35835914
rs205259	rs6940215	0.605657184250838	Insomnia	1e-13	35835914
rs205259	rs6940215	0.605657184250838	Hip circumference adjusted for BMI	8e-10	34021172
rs205259	rs6940215	0.605657184250838	Multi-trait sex score	2e-23	37277458
rs205259	rs6940215	0.605657184250838	Multi-trait sex score	4e-23	37277458
rs2059817	rs324126	0.600338428279215	Colonoscopy-negative controls vs population controls	6e-06	29228715
rs2060573	rs2060573	1	Chronic obstructive pulmonary disease liability (machine learning-based score)	4e-30	37069358
rs2061163	rs4353250	0.996190566057837	Insulin-like growth factor 1 levels	2e-14	33462484
rs2061163	rs4353250	0.996190566057837	Amyloid A serum levels	2e-51	21124955
rs2061163	rs4150575	0.633036784330263	Imidazole lactate levels	1e-10	36635386
rs2061164	rs4353250	0.993644417462038	Insulin-like growth factor 1 levels	2e-14	33462484
rs2061164	rs4353250	0.993644417462038	Amyloid A serum levels	2e-51	21124955
rs2061164	rs4150575	0.636808897587536	Imidazole lactate levels	1e-10	36635386
rs2064521	rs11155671	0.975806902752313	Testicular germ cell tumor	2e-09	28604728
rs2064521	rs4380763	0.962233695928481	Subcortical volume (min-P)	1e-11	32665545
rs2064521	rs1934534	0.961439846419339	Pain (pleiotropy)	2e-08	37844115
rs2064521	rs1934534	0.961439846419339	Pain (pleiotropy)	2e-06	37844115
rs2064521	rs9505982	0.960984470323939	S-adenosylhomocysteine (SAH) levels	1e-19	35347128
rs2064521	rs80147756	0.919265542636776	HippSubfield lh volume subiculum-head	3e-10	33875891
rs2064521	rs4421206	0.91491817608183	Brain morphology (min-P)	4e-11	32665545
rs2064521	rs9688452	0.895176300816421	Brainstem global volume Whole-brainstem	1e-11	33875891
rs2064521	rs9688452	0.895176300816421	aseg lh volume VentralDC	2e-10	33875891
rs2064521	rs10872649	0.846688334478121	Hippocampal subfield right CA4 volume (body)	3e-09	37337106
rs2064521	rs10872649	0.846688334478121	Hippocampal right GC-ML-DG volume (body)	3e-08	37337106
rs2064521	rs10872649	0.846688334478121	Right hippocampal volume (body)	1e-10	37337106
rs2064521	rs9322194	0.815502230885224	Brainstem volume	2e-11	31636452
rs2064521	rs7752089	0.813419829880675	Brain morphology (MOSTest)	2e-31	35164939
rs2064521	rs9285521	0.69377665275824	Plasma 5-methylthioadenosine (MTA) levels in chronic kidney disease	3e-17	37277652
rs2064521	rs12526675	0.641605306519562	Brain morphology (MOSTest)	7e-22	32665545
rs2064521	rs9688809	0.62764400998608	Right molecular layer hippocampal volume (head)	7e-09	37337106
rs2064521	rs34337297	0.624631289012377	Serum levels of protein LRP11	3e-161	35078996
rs2064521	rs10872645	0.623851361592884	Blood protein levels	2e-86	30072576
rs2064521	rs14314	0.622819500612405	Macular thickness	3e-19	30535121
rs2064521	rs14314	0.622819500612405	Vertex-wise sulcal depth	7e-17	34910505
rs2064521	rs14314	0.622819500612405	Plasma S-adenosylhomocysteine (SAH) levels in chronic kidney disease	4e-16	37277652
rs2064521	rs14314	0.622819500612405	Left hippocampal volume (body)	7e-15	37337106
rs2064521	rs14314	0.622819500612405	Left subiculum volume (body)	1e-14	37337106
rs2064521	rs55763431	0.622502497965433	Low-density lipoprotein receptor-related protein 11 level in Chronic kidney disease with hypertension and no diabetes (6713_4)	8e-28	35870639
rs2064521	rs9322193	0.622014837885711	Lung cancer	1e-07	27393504
rs2064521	rs9689694	0.621363701232172	Right hippocampal volume (head)	6e-11	37337106
rs2064521	rs9689694	0.621363701232172	Hippocampal subfield left CA1 volume (head)	2e-10	37337106
rs2064521	rs9689694	0.621363701232172	Hippocampal subfield right CA1 volume (head)	7e-12	37337106
rs2064521	rs9689694	0.621363701232172	Left hippocampal volume (head)	6e-12	37337106
rs2064521	rs9383843	0.620017125674574	Migraine	1e-09	35115687
rs2064521	rs2095375	0.619448652179028	Serum metabolite levels	1e-20	33031748
rs2064521	rs2095375	0.619448652179028	Serum metabolite levels	1e-20	33031748
rs2064521	rs10872653	0.617178156003887	Urine S-adenosylhomocysteine (SAH) levels in chronic kidney disease	4e-17	37277652
rs2064521	rs9688867	0.616875633366164	Low-density lipoprotein receptor-related protein 11 level in Chronic kidney disease with hypertension and no diabetes (8330_1)	5e-31	35870639
rs2064521	rs9688867	0.616875633366164	S-adenosylhomocysteine (SAH) levels	2e-26	36635386
rs2064521	rs2342764	0.600828918817829	Cortical thickness	1e-08	34560273
rs2065663	rs56103941	0.975806084358663	Right presubiculum volume (head)	4e-08	37337106
rs2065663	rs12523793	0.948031213165015	Subcortical volume (MOSTest)	4e-24	32665545
rs2065663	rs12523793	0.948031213165015	C-reactive protein levels	3e-08	35459240
rs2065663	rs12523793	0.948031213165015	C-reactive protein levels (MTAG)	2e-08	36376304
rs2065663	rs11155662	0.930469838747782	Vertex-wise cortical thickness	2e-09	34910505
rs2065663	rs12526675	0.881062264125746	Brain morphology (MOSTest)	7e-22	32665545
rs2065663	rs2342764	0.817986490492341	Cortical thickness	1e-08	34560273
rs2065663	rs58189451	0.758523419215507	Drinks per week	1e-09	36477530
rs2065663	rs9285521	0.747910134625474	Plasma 5-methylthioadenosine (MTA) levels in chronic kidney disease	3e-17	37277652
rs2065663	rs9322194	0.660753671709409	Brainstem volume	2e-11	31636452
rs2065663	rs7752089	0.65997628901527	Brain morphology (MOSTest)	2e-31	35164939
rs2065663	rs11155675	0.642150522665708	Brain region volumes	3e-09	31676860
rs2065663	rs10872649	0.636857369000678	Hippocampal subfield right CA4 volume (body)	3e-09	37337106
rs2065663	rs10872649	0.636857369000678	Hippocampal right GC-ML-DG volume (body)	3e-08	37337106
rs2065663	rs10872649	0.636857369000678	Right hippocampal volume (body)	1e-10	37337106
rs2065663	rs1125	0.636458122717305	Nicotine dependence and major depression (severity of comorbidity)	4e-06	30287806
rs2065663	rs1125	0.636458122717305	Vertical cup-disc ratio	8e-14	34077760
rs2065663	rs9371201	0.631984539634412	Nicotine dependence and major depression (severity of comorbidity)	7e-06	30287806
rs2065663	rs4421206	0.609959732385212	Brain morphology (min-P)	4e-11	32665545
rs2070180	rs3772130	0.985645676912715	Cognitive performance	6e-06	19734545
rs2070180	rs3772128	0.985645676912715	Mean spheric corpuscular volume	4e-09	32888494
rs2070180	rs33988592	0.977776664818839	Mean corpuscular hemoglobin	9e-11	32888493
rs2070180	rs33988592	0.977776664818839	Mean corpuscular volume	4e-12	32888493
rs2070180	rs6791046	0.973104700975406	Mean reticulocyte volume	4e-12	32888494
rs2070180	rs1573819	0.934010578675428	Mean corpuscular volume	3e-10	32888493
rs2070180	rs13433692	0.669246362950967	Corneal resistance factor (MTAG)	5e-08	35446358
rs2071566	rs7359095	0.617590919877227	Height (standard GWA)	5e-10	37106081
rs2073483	rs11101981	0.70137821620328	Glutathione S-transferase Mu 3 levels	2e-189	34648354
rs2074219	rs409942	0.897582298791576	Total cholesterol levels	8e-06	35884923
rs2074219	rs739669	0.76214246612729	BMI at birth	5e-17	35315439
rs2074219	rs222837	0.710069462390037	Metabolite levels	7e-06	23823483
rs2074219	rs2654189	0.668910339548453	Eosinophil counts	4e-11	32888494
rs2074219	rs2654189	0.668910339548453	Eosinophil percentage of white cells	6e-12	32888494
rs2074219	rs2654189	0.668910339548453	Eosinophil counts	1e-09	30595370
rs2074219	rs5415	0.659046719357841	Birth weight	5e-06	23202124
rs2074219	rs5415	0.659046719357841	LDL cholesterol levels	1e-06	35884923
rs2074219	rs13331	0.633796437386258	Heel bone mineral density	4e-08	30595370
rs2076435	rs2076435	1	Inguinal hernia	2e-08	35022708
rs2076435	rs2076435	1	Inguinal hernia	2e-09	35022708
rs2076435	rs2076438	0.871766354423689	Coronary artery disease	3e-08	33020668
rs2076435	rs2235642	0.869675116792042	Coronary artery disease	8e-06	29212778
rs2076616	rs2076616	1	Rheumatoid arthritis	1e-13	36333501
rs2076616	rs761426	0.657729573617913	Rheumatoid arthritis	1e-06	30423114
rs2076616	rs761426	0.657729573617913	Rheumatoid arthritis	2e-10	30423114
rs2076616	rs2076614	0.648240361702142	Waist circumference adjusted for body mass index	7e-09	34021172
rs2076616	rs7523863	0.645252469510404	Hip circumference adjusted for BMI	3e-09	34021172
rs2077848	rs7987940	0.728057602754619	AFP levels	6e-08	36329257
rs2077848	rs9535244	0.65656595422785	Lung function (FVC)	1e-08	30595370
rs2079866	rs2532497	1	Tapasin-related protein levels (TAPBPL.6364.7.3)	0	29875488
rs2079866	rs2532497	1	Tapasin-related protein levels	0	34648354
rs2079866	rs2041387	0.729767808706032	Tapasin-related protein level in Chronic kidney disease with hypertension and no diabetes (6364_7)	1e-109	35870639
rs2081191	rs2891698	0.661319920234706	Hiatus hernia	4e-10	36584111
rs2081191	rs2891698	0.661319920234706	Hernia	1e-09	36584111
rs2081191	rs2891698	0.661319920234706	ICD10 K44: Diaphragmatic hernia	3e-13	36076102
rs2094833	rs2357176	0.955250336771477	Nevus count or cutaneous melanoma	4e-08	30429480
rs2094833	rs10873172	0.860353315806518	Cutaneous melanoma or hair colour	6e-27	32341527
rs2094833	rs10873172	0.860353315806518	Nevus count or cutaneous melanoma	6e-13	32341527
rs2094833	rs10873172	0.860353315806518	Blond vs. brown/black hair color	6e-15	30531825
rs2094833	rs10873172	0.860353315806518	Cutaneous malignant melanoma	6e-08	32341527
rs2094833	rs10873172	0.860353315806518	Hair color	4e-17	30595370
rs2094833	rs1255908	0.801551649119497	PR interval	8e-14	32439900
rs2094833	rs1255908	0.801551649119497	PR interval	6e-14	32439900
rs2094833	rs12878653	0.744763354448504	Youthful appearance (self-reported)	3e-14	32339537
rs2095375	rs2095375	1	Serum metabolite levels	1e-20	33031748
rs2095375	rs2095375	1	Serum metabolite levels	1e-20	33031748
rs2095375	rs9383843	0.999100085712971	Migraine	1e-09	35115687
rs2095375	rs55763431	0.995506640298119	Low-density lipoprotein receptor-related protein 11 level in Chronic kidney disease with hypertension and no diabetes (6713_4)	8e-28	35870639
rs2095375	rs9689694	0.993707895167345	Right hippocampal volume (head)	6e-11	37337106
